start,end,time,year
41703,92801,1953-03-01,1953
32554,44296,1957-03-01,1957
32554,33162,1958-03-01,1958
2638,32554,1953-03-01,1953
2638,57648,1953-03-01,1953
47035,86845,1953-03-01,1953
3606,47035,1953-03-01,1953
91144,57648,1953-03-01,1953
91144,54582,1954-03-01,1954
91144,11835,1954-03-01,1954
32491,91144,1953-03-01,1953
32491,92488,1955-03-01,1955
42388,57648,1953-03-01,1953
90592,13084,1953-03-01,1953
90592,13456,1955-03-01,1955
90592,57904,1955-03-01,1955
33557,91144,1953-03-01,1953
33557,55971,1954-03-01,1954
33557,35179,1954-03-01,1954
33557,32497,1955-03-01,1955
54582,59696,1953-03-01,1953
54582,85716,1954-03-01,1954
35209,54582,1953-03-01,1953
35209,59696,1953-03-01,1953
35209,82684,1954-03-01,1954
35209,42067,1954-03-01,1954
32571,12807,1953-03-01,1953
64941,12807,1953-03-01,1953
2715,64941,1953-03-01,1953
90091,91183,1953-03-01,1953
90091,41815,1954-03-01,1954
41155,71232,1953-03-01,1953
41155,82684,1954-03-01,1954
41155,35209,1954-03-01,1954
74873,85716,1953-03-01,1953
74873,35209,1953-03-01,1953
42067,11279,1953-03-01,1953
42067,70058,1953-03-01,1953
42067,82684,1954-03-01,1954
93566,42067,1953-03-01,1953
93566,70058,1953-03-01,1953
41815,85713,1953-03-01,1953
41815,6114,1954-03-01,1954
33519,70058,1953-03-01,1953
33519,12239,1953-03-01,1953
31043,85713,1953-03-01,1953
31043,42067,1953-03-01,1953
58392,31043,1953-03-01,1953
11279,93566,1953-03-01,1953
86162,93003,1953-03-01,1953
86162,77980,1955-03-01,1955
6114,93566,1953-03-01,1953
6114,42067,1954-03-01,1954
6114,35459,1954-03-01,1954
6114,69092,1955-03-01,1955
33559,85713,1953-03-01,1953
33559,42067,1953-03-01,1953
33559,51122,1954-03-01,1954
12239,33559,1953-03-01,1953
12239,93566,1953-03-01,1953
35523,11279,1953-03-01,1953
35523,95964,1954-03-01,1954
110552,41815,1953-03-01,1953
12976,39513,1953-03-01,1953
150257,13143,1953-03-01,1953
53310,33260,1953-03-01,1953
23612,12976,1953-03-01,1953
23612,70134,1953-03-01,1953
23612,10777,1954-03-01,1954
45622,33260,1953-03-01,1953
45622,11543,1954-03-01,1954
56236,45622,1953-03-01,1953
11671,20655,1953-03-01,1953
11714,17462,1953-03-01,1953
77158,56236,1953-03-01,1953
35609,27762,1953-03-01,1953
35609,69299,1954-03-01,1954
35609,35374,1954-03-01,1954
109926,35609,1953-03-01,1953
109926,54529,1953-03-01,1953
109926,55746,1954-03-01,1954
33459,35609,1953-03-01,1953
17886,12861,1953-03-01,1953
35374,56284,1953-03-01,1953
35374,12976,1954-03-01,1954
35374,35230,1955-03-01,1955
35374,81202,1955-03-01,1955
33817,35374,1953-03-01,1953
33817,51122,1954-03-01,1954
33817,10777,1954-03-01,1954
11532,27762,1953-03-01,1953
11532,109926,1953-03-01,1953
172550,54411,1953-03-01,1953
11543,33817,1953-03-01,1953
11543,33559,1954-03-01,1954
11543,71397,1954-03-01,1954
11543,12058,1955-03-01,1955
93475,35170,1953-03-01,1953
93475,35230,1954-03-01,1954
12787,109926,1953-03-01,1953
12787,12738,1954-03-01,1954
17820,35374,1953-03-01,1953
42010,33459,1953-03-01,1953
42010,69299,1955-03-01,1955
42010,56283,1955-03-01,1955
